di,case_num,date,block,iucr,type,description,loc_descrip,arrest,domestic,beat,district,ward,community,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
22861,HZ481118,10/19/2016 20:00,043XX S PAULINA ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,924,9,12,61,01A,1165737,1875835,2016,10/26/2016 15:50,41.8148782,-87.6675699,"(41.814878195, -87.667569904)"
22862,HZ481088,10/19/2016 19:49,003XX E 47TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,215,2,3,38,01A,1178930,1873923,2016,10/26/2016 15:50,41.80934083,-87.61923474,"(41.809340827, -87.619234738)"
22873,HX361779,5/26/2016 20:22,005XX E 47TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,223,2,3,38,01A,,,2016,11/7/2016 15:50,,,
22880,HZ310233,6/16/2016 12:11,088XX S MUSKEGON AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,FALSE,FALSE,423,4,10,46,01A,,,2016,10/28/2016 15:46,,,
22863,HZ484058,10/22/2016 2:02,042XX W WILCOX ST,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,1115,11,28,26,01A,1148174,1898999,2016,10/29/2016 15:47,41.87879855,-87.73139851,"(41.878798552, -87.731398505)"
22864,HZ484313,10/22/2016 10:41,031XX W 24TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1033,10,24,30,01A,1155646,1887884,2016,10/29/2016 15:47,41.84815071,-87.70426167,"(41.848150711, -87.704261665)"
22866,HZ485384,10/23/2016 9:28,028XX S PULASKI RD,110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,FALSE,FALSE,1031,10,22,30,01A,1150170,1884913,2016,10/30/2016 15:47,41.84010623,-87.72443632,"(41.840106225, -87.724436322)"
22867,HZ485486,10/23/2016 8:22,066XX S VERNON AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,TRUE,FALSE,312,3,20,42,01A,1180387,1861158,2016,10/30/2016 15:47,41.77427915,-87.61428237,"(41.774279153, -87.614282368)"
22868,HZ485169,10/23/2016 15:44,011XX W 81ST ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,612,6,21,71,01A,1169930,1851084,2016,10/30/2016 15:47,41.74686833,-87.65290783,"(41.746868325, -87.652907833)"
22869,HZ485266,10/23/2016 3:30,073XX N SHERIDAN RD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2423,24,49,1,01A,1166025,1948611,2016,10/30/2016 15:47,42.01457395,-87.66443146,"(42.014573954, -87.664431457)"
22865,HZ485272,10/23/2016 2:25,015XX S CHRISTIANA AVE,110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,FALSE,FALSE,1021,10,24,29,01A,1153952,1892186,2016,11/8/2016 15:47,41.85998978,-87.71036422,"(41.859989781, -87.710364219)"
22870,HZ485316,10/23/2016 3:45,024XX W LEXINGTON ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1135,11,2,28,01A,1160164,1896630,2016,10/30/2016 15:47,41.8720586,-87.68743886,"(41.872058601, -87.68743886)"
